Apex_Floor,Uber_ID,Source_Boss_ID,Boss_Character,Boss_Short_Name,Origin_Floor,Boss_Type_Primary,Boss_Type_Secondary,Boss_Level,Boss_Quality_Grade,Grade_Attack,Grade_Defense,Grade_Utility,Grade_Speed,Boss_HP,AI_Tier,Active_Creature_1,Active_Creature_2,Active_Quality_Grade,Active_Gear_Grade,Move_1,Move_2,Move_3,Move_4,Kit_Synergy,Signature_Name,Signature_Rule,Key_Item,Image_Path,Art_Status,Notes
102,UBER-102,BOSS-010,"Mutant Vargr, the Alpha",Vargr,10,Beast,,100,10 (Void),9,6,6,9,13750,3,DFMC-028,DFMC-067,7 (Abyssal),Rare,Reap the Fleeing (NIGHTMARE) · P160 CD3 · Damage; +50% more vs targets with a reduced Speed stage.,"Run-Down (DUSTHOUND) · P120 CD2 · Damage; Harried: target -1 Speed stage, 1t.","Wild Command (HERNE) · P0 CD2 · One ally +20% Attack, 2t; Beast allies gain +30% instead.","Ironquill Bulwark (THORNBACK) · P0 CD2 · +30% Defense (self, 2t); attackers take Quillprick: 4% max HP over 2t; Beast allies also gain +10% Defense.","Pack-hunt execution loop: Run-Down strips Speed, Reap the Fleeing punishes it for +50%. Wild Command feeds both Beast actives at the full +30% rate — Hart sustains the pack with Sovereign's Bloom while Mirage blurs ahead of it, shrugging hits with Heat Haze and cutting in fangs-first with Mirage Claw before the prey can act.",Pack Without End,At the end of every round the Alpha calls one replacement active if a slot is empty; the call is refused for the rest of the battle once he has taken a hit from every unit on your side in a single round.,ITM-UKEY-102,codex/images/mutants/BOSS-010.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
104,UBER-104,BOSS-020,"Mutant Pelagos, the Trench Warden",Pelagos,20,Aquatic,Undead,100,10 (Void),8,10,7,5,15250,3,DFMC-088,DFMC-265,7 (Abyssal),Epic,The Sea Remembers (DAGON) · P160 CD4 · Damage; +25% more per debuff on target (max +50%).,"Tide of Ruin (DAGON) · P120 CD2 · Damage; Salt Curse: target -15% Defense, 2t.","Drowned Court (DAGON) · P0 CD2 · All allies +15% Attack, 2t; Undead and Aquatic allies gain +30% instead.","Withdraw (BULWARK) · P0 CD3 · +50% Defense (self, 1t); heal self 15% max HP.","A drowned wall that outlasts you: Withdraw makes him nearly unkillable while Salt Curse, Reliquary's Leaden Curse, and Nidhogg's Eternal Bind pile up the debuffs The Sea Remembers detonates. Drowned Court raises the dead at the +30% rate, and the root-gnawing serpent's Tail Bite grows crueler with every curse on the board.",Sealed Gate,"Damage below 8% of his maximum HP in a single hit is reduced to zero. Chip, DoT and multihit components each check separately — a wall that only real hits get through.",ITM-UKEY-104,codex/images/mutants/BOSS-020.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
106,UBER-106,BOSS-030,"Mutant Sethek, the Ossuary King",Sethek,30,Serpent,Undead,100,10 (Void),10,6,10,6,17250,3,DFMC-262,DFMC-235,8 (Divine),Legendary,End Is Beginning (OUROBOROS) · P160 CD4 · Damage; +40% more vs targets with 2 or more debuffs.,"Buried Fang (DUNECOIL) · P160 CD3 · Damage; Venom Grit: 5% max HP/turn, 2t.","Eternal Bind (OUROBOROS) · P120 CD2 · Damage; target -1 Speed stage, 2t; refreshes the duration of existing damage-over-time effects on the target.","Keening (SANDSKITTER) · P0 CD2 · Unraveled: target -15% Defense, 2t.","The coil never ends: Buried Fang plants a heavy venom, Eternal Bind refreshes it forever while slowing, Keening shreds Defense, and End Is Beginning cashes in on the debuff pile. Nachzehrer's Bled Dry shuts off healing out of the venom; Spore's Decomposing adds another debuff to the count.",Ossuary Rebirth,The first time he is downed he stands back up at 40% HP with every debuff cleared. Kill the ossuary active first and the second rising never happens.,ITM-UKEY-106,codex/images/mutants/BOSS-030.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
108,UBER-108,BOSS-040,"Mutant Mother Vesk, the Broodmother",Vesk,40,Insect,Horror,100,10 (Void),10,7,10,5,19500,3,DFMC-116,DFMC-146,8 (Divine),Legendary,Coronation Swarm (VESPERA) · P160 CD3 · Damage; +40% more vs targets with any damage-over-time effect.,Silken Guillotine (ARACHNE) · P160 CD3 · Damage; +50% more vs targets with Numbweave.,"Pandemic Bite (PLAGUECARRIER) · P120 CD3 · Damage; Infested: 4% max HP/turn, 3t.","Paralytic Silk (ARACHNE) · P0 CD2 · Numbweave: target -2 Speed stages, 2t.","Two execution engines in one kit: silk-wrap into Guillotine, infest into Coronation Swarm. Cordyceps seeds Venom Bloom and Hatching Spores for the swarm to detonate — its Queen's Edict lifts the whole brood's Attack — while Colossus bodyguards the Broodmother with Foundry Guard.",Brood Tithe,"Every round she is not the target of at least one hostile action, she gains a permanent +12% Attack, uncapped. Ignoring her is the losing line.",ITM-UKEY-108,codex/images/mutants/BOSS-040.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
110,UBER-110,BOSS-050,"Mutant Ostrakon, the Carapace Despot",Ostrakon,50,Arthropod,Construct,100,10 (Void),9,10,9,5,21750,3,DFMC-275,DFMC-287,9 (Primordial),Abyssal,"Titan's Downstroke (TALOS) · P160 CD3 · Damage; Dented: target -15% Defense, 2t.",Tyrant's Verdict (STONECALLER) · P120 CD3 · Damage; +40% more vs targets with a reduced Speed stage.,"Decree of Stone (STONECALLER) · P0 CD2 · Petrifying Edict: target -1 Speed stage and -10% Attack, 2t.","Court of Rock (STONECALLER) · P0 CD2 · All allies +20% Defense, 2t; Construct and Arthropod allies gain +35% instead.",A fortress court: Court of Rock hits every teammate at the +35% Construct/Arthropod rate. Ironclad counterpunches and shields the throne while Ossuary stands as its reliquary wall — Residual Purpose scours debuffs off itself and Choking Cloud smothers the attacker's edge. Decree of Stone into Tyrant's Verdict grinds anything slow enough to be judged.,Carapace Layers,Takes 75% reduced damage until five separate damaging hits land in one round; a hit from each side of a multihit counts. Burst-once builds cannot open him.,ITM-UKEY-110,codex/images/mutants/BOSS-050.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
112,UBER-112,BOSS-060,"Mutant Keraun, the Stormcaller",Keraun,60,Avian,Elemental,100,10 (Void),10,6,7,10,24500,3,DFMC-173,DFMC-086,9 (Primordial),Abyssal,"I Am the Storm (STORMFATHER) · P160 CD4 · Damage; Struck Twice: 5% max HP/turn, 2t; target -1 Speed stage, 1t.",Sky Lacerate (GUSTWING) · P160 CD3 · Damage; +40% more if user's Speed is higher than the target's.,Lightning Spear (STORMFATHER) · P120 CD2 · Damage; ignores 20% of target Defense.,"Unbroken Gale (ANZU) · P0 CD2 · All allies +1 Speed stage, 2t; self +2 Speed stages, 1t.","Absolute tempo: Unbroken Gale accelerates the whole flock, I Am the Storm slows the target, and the widened Speed gap turns Sky Lacerate into a permanent +40%. Lightning Spear punches through anything that turtles. Typhoon dives the openings while the bottled djinn Ifrit rides Djinn Stride ahead of everything and flays Defense open with Simoom's Wrath.",Storm Priority,"Acts first every round regardless of Speed, but every ultimate and priority action on your side resolves before his — speed loses its meaning and sequencing replaces it.",ITM-UKEY-112,codex/images/mutants/BOSS-060.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
114,UBER-114,BOSS-070,"Mutant Morast, the Bogfather",Morast,70,Amphibian,Horror,100,10 (Void),10,10,8,5,27500,3,DFMC-266,DFMC-029,10 (Void),Divine,"What Lies Beneath (MIREMOTHER) · P160 CD4 · Damage; Dragged Down: target -2 Speed stages and -15% Defense, 2t.",Take You Under (DRAUGR) · P120 CD4 · Damage; +40% more vs targets with a reduced Speed stage.,Stitchflesh (LICHFROG) · P120 CD3 · Damage; user heals 20% of damage dealt.,"Bog Lurk (GRENDEL) · P0 CD2 · +30% Defense (self, 2t); user's next attack deals +30% more.","The mire itself: What Lies Beneath drags you slow, Take You Under punishes it, Bog Lurk banks a +30% ambush while tanking, and Stitchflesh regrows whatever you cut. Lich's Leaden Curse adds a second slow source and its Soul Elsewhere makes the pair infuriating to close out; Leshy heals him from the bank.",Bog Memory,"Every named debuff that lands on him is remembered; from the second application of the same debuff onward it is refused. No repeat-debuff loop, one clean window per effect.",ITM-UKEY-114,codex/images/mutants/BOSS-070.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
116,UBER-116,BOSS-080,"Mutant Teloma, the Bloom Herald",Teloma,80,Fungal,Eldritch,100,10 (Void),9,9,10,6,31000,3,DFMC-237,DFMC-117,10 (Void),Divine,Wake the Deep (KRAKEN) · P160 CD4 · Damage; +20% more per debuff on target (max +60%).,Memory Flood (INKMANTLE) · P120 CD3 · Damage; +40% more vs targets with Forgetting.,"Lethean Ink (INKMANTLE) · P0 CD2 · Forgetting: target -15% Attack, 2t; the target's buffs expire 1 turn sooner.","Neural Threading (VEINMOLD) · P0 CD2 · Puppeted Nerves: target -15% Attack and -1 Speed stage, 2t.","The colony thinks as one: Neural Threading and Lethean Ink pile debuffs and strip your buffs, Memory Flood punishes the Forgetting he applies, and Wake the Deep detonates the full stack at up to +60%. Mycelium carries The Network Provides to heal the team at the boosted Fungal rate while Vespera's DoTs feed her own Coronation Swarm.",Spore Inheritance,"When one of her actives dies, she gains that active's full move kit for the rest of the battle. Killing her escort arms her — the order you kill in is the fight.",ITM-UKEY-116,codex/images/mutants/BOSS-080.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
118,UBER-118,BOSS-090,"Mutant Varkolan, the Undying King",Varkolan,90,Vampiric,Undead,100,10 (Void),10,9,10,6,34750,3,DFMC-276,DFMC-147,10 (Void),Primordial,"Red Formality (NOSFERATU) · P160 CD4 · Damage; user heals 40% of damage dealt; Bled Dry: target's healing received -50%, 2t.",Noble Feast (NOSFERATU) · P120 CD2 · Damage; user heals 50% of damage dealt.,"Arterial Map (BLOODCARVER) · P0 CD1 · Marked Veins: user deals +25% more to the target, 2t.",Soul Elsewhere (PHYLACTERY) · P0 CD4 · Once per battle: the first killing blow this battle leaves the user at 1 HP instead.,"You cannot outlast him and you cannot kill him: Arterial Map amplifies every drain, Noble Feast and Red Formality convert your HP into his while cutting your healing in half, and Soul Elsewhere refuses the one kill you finally line up. Ashwalker and Talos are the crypt's warding statues — the bonefire sentinel smothers your Attack with Smothering Ashfall and refuses to stay down, and both shield him while his court bleeds you.",Two Deaths,"Cannot be reduced below 1 HP while either active still stands, and neither active can be reduced below 1 HP while he stands. Break the ring or nothing dies.",ITM-UKEY-118,codex/images/mutants/BOSS-090.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
120,UBER-120,BOSS-100,"Mutant Eskaton, the Unfinished God",Eskaton,100,Construct,Demon,100,10 (Void),10,10,10,6,39000,3,DFMC-288,DFMC-090,10 (Void),Void,"Before There Was Light (PYRIEL) · P160 CD4 · Damage; ignores 25% of target Defense; applies Unquenchable: 5% max HP/turn, 2t.",Deprecation (DEMIURGE) · P160 CD4 · Damage; +40% more vs targets with Flawed Make.,"Design Flaw (DEMIURGE) · P0 CD2 · Flawed Make: target -15% Defense and -10% Attack, 2t.","Anoint in Fire (PYRIEL) · P0 CD2 · One ally +25% Attack, 2t; Construct and Demon allies gain +40% instead.","The forge judges its own work: Design Flaw marks you defective, Deprecation removes you, and Before There Was Light burns with fire that cannot be cleansed — fire Ouroboros' Bind Without End renews forever while the growing pile of debuffs feeds The End Is the Beginning. Anoint in Fire stokes Ferrodrake at the full +40% Construct rate: the world-serpent coils around the machine still building itself, and the forge-dragon guards it.",The Unfinished Work,Every 4 rounds the forge rebuilds him: all buffs on your side are stripped and he heals 10% of maximum HP. Landing 25% of his maximum HP in damage inside a single round cancels the next rebuild.,ITM-UKEY-120,codex/images/mutants/BOSS-100.webp,derived,"Portrait is the deterministic mutant recolour of the source boss art, produced by tools/make_mutants.py (hue-cluster remap, luminance untouched, seeded from the boss id) - no generation spend. Kit inherited from the source boss and re-tuned to level 100. Actives use the Apex virtual-gear rule (dominant axis only, no HP modifiers). AI tier 3."
