Track_ID,State,Zone,File,Gain,LUFS,Peak_dBFS,Seconds,KB,Title,Author,Source_URL,Licence,Notes
grasslands,zone,Grasslands,assets/bgm/grasslands.ogg,1.368,-31.7,-17.9,90.0,795,Sunset Plains,yoiyami,https://opengameart.org/content/sunset-plains,CC0-1.0,"In file -31.7 LUFS, peak -17.9 dBFS; Gain 1.368 matches it to -29 LUFS, so it plays at -15.2 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 8000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_grasslands.ogg."
tidal,zone,Tidal Shallows,assets/bgm/tidal.ogg,1.354,-31.6,-14.7,62.0,587,The Seeing Pool,umplix,https://opengameart.org/content/the-seeing-pool,CC0-1.0,"In file -31.6 LUFS, peak -14.7 dBFS; Gain 1.354 matches it to -29 LUFS, so it plays at -12.1 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 6000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_tidal.ogg."
desert,zone,Desert Plains,assets/bgm/desert.ogg,1.408,-32.0,-13.0,60.0,599,Desert Loop,iamoneabe,https://opengameart.org/content/desert-loop,CC0-1.0,"In file -32.0 LUFS, peak -13.0 dBFS; Gain 1.408 matches it to -29 LUFS, so it plays at -10.0 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 5000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_desert.ogg."
thicket,zone,Swarm Thicket,assets/bgm/thicket.ogg,1.406,-32.0,-16.4,90.0,831,Creepy Forest (F),haeldb,https://opengameart.org/content/creepy-forest-f,CC0-1.0,"In file -32.0 LUFS, peak -16.4 dBFS; Gain 1.406 matches it to -29 LUFS, so it plays at -13.4 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 7000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_thicket.ogg."
crag,zone,The Crag,assets/bgm/crag.ogg,1.654,-33.4,-15.4,59.93,605,White Limestone,bobjt,https://opengameart.org/content/white-limestone,CC0-1.0,"In file -33.4 LUFS, peak -15.4 dBFS; Gain 1.654 matches it to -29 LUFS, so it plays at -11.0 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 4000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_crag.ogg."
peaks,zone,Storm Peaks,assets/bgm/peaks.ogg,1.174,-30.4,-6.6,90.0,1019,rain and thunders,mikhog,https://opengameart.org/content/rain-and-thunders,CC0-1.0,"In file -30.4 LUFS, peak -6.6 dBFS; Gain 1.174 matches it to -29 LUFS, so it plays at -5.2 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 2800 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_peaks.ogg."
bog,zone,Sunken Bog,assets/bgm/bog.ogg,1.616,-33.2,-8.0,89.98,836,Swamp Environment Audio,lokif,https://opengameart.org/content/swamp-environment-audio,CC0-1.0,"In file -33.2 LUFS, peak -8.0 dBFS; Gain 1.616 matches it to -29 LUFS, so it plays at -3.8 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 4000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_bog.ogg."
undercave,zone,Underwater Cave,assets/bgm/undercave.ogg,1.236,-30.8,-15.2,90.0,824,Nautilus,poinl,https://opengameart.org/content/nautilus,CC0-1.0,"In file -30.8 LUFS, peak -15.2 dBFS; Gain 1.236 matches it to -29 LUFS, so it plays at -13.4 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 5500 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_undercave.ogg."
gemstone,zone,Gemstone Cave,assets/bgm/gemstone.ogg,1.369,-31.7,-18.0,90.0,803,Crystal Cave,pro-sensory,https://opengameart.org/content/crystal-cave,CC0-1.0,"In file -31.7 LUFS, peak -18.0 dBFS; Gain 1.369 matches it to -29 LUFS, so it plays at -15.3 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 9000 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_gemstone.ogg."
hellscape,zone,Flaming Hellscape,assets/bgm/hellscape.ogg,1.464,-32.3,-15.0,90.0,976,The 9th Circle,joth,https://opengameart.org/content/the-9th-circle,CC0-1.0,"In file -32.3 LUFS, peak -15.0 dBFS; Gain 1.464 matches it to -29 LUFS, so it plays at -11.7 dBFS peak. Authored bed: its own CC0 source work, cut to a seamless loop, low-passed at 4500 Hz and loudness-matched to -32 LUFS so no zone is louder than another. Copied unchanged from dfmc-dungeon play/assets/audio/music_zone_hellscape.ogg."
