Floor,Zone,Encounter_Type,Is_Boss,Visual_Theme,BG_Path,BG_Prompt,BG_Size,BG_Status,Parallax_Path,Parallax_Prompt,Parallax_Status,Prop_1,Prop_2,Prop_3,Prop_Folder,Map_Preview_Path,Map_Preview_Status,Map_Populated_Path,Map_Populated_Status,Ground_Plate_Path,Ground_Plate_Prompt,Ground_Plate_Size,Ground_Plate_Status
1,Grasslands,Outdoors,No,Sunlit Meadow,floors/backgrounds/floor_001.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Sunlit Meadow, Grasslands zone, outdoors terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_001_mockup.png,generated,floors/previews/floor_001_populated.png,pending,floors/ground_plates/floor_001.png,"Sunlit Meadow, Grasslands zone, Outdoors floor. Wild open grassland meadow floor: lush dense green wild grass over uneven soil, tiny occasional patches of bare earth, grass-dominated, almost no rocks. NO flowers, NO flower patches, NO wildflowers. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
2,Grasslands,Cave,No,Hollow Burrow,floors/backgrounds/floor_002.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Hollow Burrow, Grasslands zone, cave terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_002_empty.png,generated,floors/previews/floor_002_populated.png,pending,floors/ground_plates/floor_002.png,"Hollow Burrow, Grasslands zone, Cave floor. The earthen floor of a shallow animal burrow dug into a grassy hillside: packed soil and dirt den floor, loose scattered dirt, a few exposed roots, a fringe of wild grass around the rim, dim earthy interior ground. NO flowers. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
3,Grasslands,Fishing,No,Meadow Stream,floors/backgrounds/floor_003.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Meadow Stream, Grasslands zone, fishing terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_003_empty.png,generated,floors/previews/floor_003_populated.png,pending,floors/ground_plates/floor_003.png,"Meadow Stream, Grasslands zone, Fishing floor. A grassy meadow floor with a shallow clear stream cutting a lazy path across it: wet muddy banks, smooth pebbles beneath clear shallow water, wild grass on either side of the water. NO flowers. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
4,Grasslands,Outdoors,No,Rolling Hills,floors/backgrounds/floor_004.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Rolling Hills, Grasslands zone, outdoors terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_004_empty.png,generated,floors/previews/floor_004_populated.png,pending,floors/ground_plates/floor_004.png,"Rolling Hills, Grasslands zone, Outdoors floor. Gently rolling green grassland hills floor: wind-bent wild grass in soft waves over low undulating terrain, occasional patches of bare soil, grass-dominated. NO flowers, NO flower patches. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
5,Grasslands,Outdoors,No,Windswept Rise,floors/backgrounds/floor_005.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Windswept Rise, Grasslands zone, outdoors terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_005_empty.png,generated,floors/previews/floor_005_populated.png,pending,floors/ground_plates/floor_005.png,"Windswept Rise, Grasslands zone, Outdoors floor. The grassy floor of a low windswept ridge: short wind-flattened wild grass, exposed dry earth, a few weathered low rocks, sparse and open terrain. NO flowers. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
6,Grasslands,Outdoors,No,Thistle Field,floors/backgrounds/floor_006.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Thistle Field, Grasslands zone, outdoors terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_006_empty.png,generated,floors/previews/floor_006_populated.png,pending,floors/ground_plates/floor_006.png,"Thistle Field, Grasslands zone, Outdoors floor. Uneven wild grassland floor crowded with coarse low thistles and scattered small wildflowers: tangled weeds, rough patchy ground, muted natural thistle and flower colors low among the grass. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
7,Grasslands,Fishing,No,Grazing Pond,floors/backgrounds/floor_007.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Grazing Pond, Grasslands zone, fishing terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_007_empty.png,generated,floors/previews/floor_007_populated.png,pending,floors/ground_plates/floor_007.png,"Grazing Pond, Grasslands zone, Fishing floor. A grassy meadow floor with a still calm pond: muddy reed-lined banks, tall wild grass around the water's edge, glassy dark reflective water surface. NO flowers. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
8,Grasslands,Cave,No,Root Hollow,floors/backgrounds/floor_008.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Root Hollow, Grasslands zone, cave terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_008_empty.png,generated,floors/previews/floor_008_populated.png,pending,floors/ground_plates/floor_008.png,"Root Hollow, Grasslands zone, Cave floor. The earthen floor of a den carved beneath a massive fallen tree: packed dirt ground with thick tangled roots overhead casting the floor into shade, soil and leaf litter, dim earthy shaded den floor. NO flowers. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
9,Grasslands,Outdoors,No,Wildflower Expanse,floors/backgrounds/floor_009.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, Wildflower Expanse, Grasslands zone, outdoors terrain, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1536x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_009_empty.png,generated,floors/previews/floor_009_populated.png,pending,floors/ground_plates/floor_009.png,"Wildflower Expanse, Grasslands zone, Outdoors floor. An open grassland floor blanketed in bright wild wildflowers among green grass stretching everywhere: dense low blooms of muted natural colors woven through the grass, low and walkable. Isometric three-quarter game map view, classic RPG overworld projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, ground plane fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, distant elevated viewpoint, wide expansive field of view, a large area of terrain visible, not a close-up. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, natural and believable, gritty realistic texture with fine detail, subtle color variation, earthy muted natural tones — NOT cartoon, NOT cel-shaded, NOT flat stylized, NOT neon, NOT candy-colored. Natural overcast-to-soft daylight, moody but clearly lit, balanced mid-tone exposure, NOT dark, NOT underexposed, NOT washed out. Untouched wilderness. NO paths, NO trails, NO roads, NO man-made structures, NO fences, untouched by humans. No creatures, no characters, no props, no objects, no UI, no text, no watermark. The walkable floor surface that creatures stand on.",2560x1440,generated
10,Grasslands,Cave,Yes,The Alpha's Den,floors/backgrounds/floor_010.png,"wide panoramic battle background, 1536x1024, no characters, no creatures, no UI, boss arena, The Alpha's Den, enclosed space, ominous atmosphere, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",1024x1024,generated,floors/parallax/grasslands_par.png,"seamless parallax layer, 2304x1024, tileable horizontal, sunlit meadow, atmospheric depth layers, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",prompt_ready,scattered wildflowers,lone standing stone,broken fence,floors/props/grasslands/,floors/previews/floor_010_empty.png,generated,floors/previews/floor_010_populated.png,pending,floors/ground_plates/floor_010.png,"Boss arena: The Alpha's Den, Grasslands zone. A deep den at the meadow's edge, marked with the claw-scored territory of something that rules here. Zone palette: earthy muted greens, soil browns, dry ochre. Enclosed interior ground, cavern or den floor, walls fading into shadow at the frame edges. Isometric three-quarter game map view, classic RPG boss arena projection, consistent fixed camera angle looking down at about 60 degrees, even parallel projection, the arena fills the entire frame edge to edge, NO sky, NO horizon line. Camera positioned high and far away, the entire arena visible. In the EXACT CENTER of the frame stands a large raised platform where the boss will stand — the platform's materials and design match the zone identity, clearly elevated, imposing, unmistakably the focal point. Around the platform the arena floor is richly dressed with environmental elements and details matching the zone theme, painted directly into the scene. Dramatic cinematic lighting focused on the central platform, deep shadows at the arena edges, ominous powerful atmosphere — but the platform itself clearly lit. Semi-realistic detailed painterly rendering, grounded dark-fantasy game art, gritty realistic texture, muted natural tones with strong dramatic accents — NOT cartoon, NOT cel-shaded, NOT neon. No creatures, no characters, no UI, no text, no watermark.",2560x1440,generated
