Event_ID,Category,Trigger,File,Gain,Retrigger_Ms,Notes,LUFS,Play_Peak_dBFS
ui.click,ui,"Any button, tab or card press anywhere in the codex or the client shell.",assets/afx/cues/ui_click.ogg,0.5,,"Dungeon cue ui.click, copied unchanged from dfmc-dungeon play/assets/audio/ui_click.ogg.",-24.8,-11.9
ui.open,ui,"An overlay opens - the bag, a creature sheet, the shop, a confirm.",assets/afx/cues/ui_open.ogg,0.45,,"Dungeon cue ui.open, copied unchanged from dfmc-dungeon play/assets/audio/ui_open.ogg.",-21.8,-9.2
ui.close,ui,An overlay closes.,assets/afx/cues/ui_close.ogg,0.4,,"Dungeon cue ui.close, copied unchanged from dfmc-dungeon play/assets/audio/ui_close.ogg.",-21.7,-8.6
ui.select,ui,"A row is picked in a list - a move, a creature, an item, a socket.",assets/afx/cues/ui_select.ogg,0.35,,"Dungeon cue ui.select, copied unchanged from dfmc-dungeon play/assets/audio/ui_select.ogg.",-26.5,-14.0
ui.deny,ui,"An action is refused: not enough currency, a cooldown, a locked floor.",assets/afx/cues/ui_deny.ogg,0.5,,"Dungeon cue ui.deny, copied unchanged from dfmc-dungeon play/assets/audio/ui_deny.ogg.",-21.2,-7.6
ui.toast,ui,A toast or adventure-log line appears.,assets/afx/cues/ui_toast.ogg,0.25,120,"Dungeon cue ui.toast, copied unchanged from dfmc-dungeon play/assets/audio/ui_toast.ogg.",-31.0,-17.6
battle.start,battle,A floor encounter opens and the two teams are placed.,assets/afx/cues/floor_arrive.ogg,0.4,,"Dungeon cue floor.arrive, copied unchanged from dfmc-dungeon play/assets/audio/floor_arrive.ogg.",-14.9,-1.6
battle.hit,battle,"Damage lands on an enemy creature (under the move composition, not instead of it).",assets/afx/cues/combat_hit.ogg,0.5,30,"Dungeon cue combat.hit, copied unchanged from dfmc-dungeon play/assets/audio/combat_hit.ogg.",-16.6,-1.1
battle.hurt,battle,Damage lands on one of the player's own creatures.,assets/afx/cues/combat_hurt.ogg,0.6,,"Dungeon cue combat.hurt, copied unchanged from dfmc-dungeon play/assets/audio/combat_hurt.ogg.",-17.8,-1.0
battle.victory,battle,The last enemy falls and the floor is cleared - the way up unseals.,assets/afx/cues/floor_gate_open.ogg,0.5,,"Dungeon cue floor.gate_open, copied unchanged from dfmc-dungeon play/assets/audio/floor_gate_open.ogg.",-16.7,1.0
battle.defeat,battle,The player's party is wiped and the run ends.,assets/afx/cues/combat_death_player.ogg,0.7,,"Dungeon cue combat.death_player, copied unchanged from dfmc-dungeon play/assets/audio/combat_death_player.ogg.",-15.2,-0.9
unit.down,battle,One enemy creature falls while the battle carries on.,assets/afx/cues/combat_death_enemy.ogg,0.5,,"Dungeon cue combat.death_enemy, copied unchanged from dfmc-dungeon play/assets/audio/combat_death_enemy.ogg.",-15.8,-0.9
status.apply,battle,A buff or debuff is applied to a creature.,assets/afx/cues/status_apply.ogg,0.35,,"Dungeon cue status.apply, copied unchanged from dfmc-dungeon play/assets/audio/status_apply.ogg.",-17.8,-1.0
status.tick,battle,"A damage-over-time status ticks - bleed, poison, burn.",assets/afx/cues/status_bleed.ogg,0.3,60,"Dungeon cue status.bleed, copied unchanged from dfmc-dungeon play/assets/audio/status_bleed.ogg.",-14.3,-0.9
boss.arrive,boss,A boss card opens on a boss floor.,assets/afx/cues/boss_arrive.ogg,0.55,,"Dungeon cue boss.arrive, copied unchanged from dfmc-dungeon play/assets/audio/boss_arrive.ogg.",-8.9,-1.0
boss.fell,boss,"A floor boss falls - the victory announcement. Eerie, never triumphant.",assets/afx/cues/boss_victory.ogg,0.65,,"Dungeon cue boss.fell, copied unchanged from dfmc-dungeon play/assets/audio/boss_victory.ogg.",-16.7,-7.2
level_up,progress,A creature gains a level.,assets/afx/cues/progress_level_up.ogg,0.55,,"Dungeon cue progress.level_up, copied unchanged from dfmc-dungeon play/assets/audio/progress_level_up.ogg.",-14.1,-6.1
evolve,progress,A creature advances to its next stage - the advancement ceremony opens.,assets/afx/cues/progress_advance.ogg,0.5,,"Dungeon cue progress.advance, copied unchanged from dfmc-dungeon play/assets/audio/progress_advance.ogg.",-18.7,-8.3
