Move_ID,Line_ID,Slot,Name,Name_S1,Name_S2,Name_S3,Power_S1,Power_S2,Power_S3,Cooldown,Effect_S1,Effect_S2,Effect_S3,Synergy,Anti,VFX_Description,Targets,Level_Learned,Level_Upgrade_V2,Level_Upgrade_V3
M-THORNBACK-1,THORNBACK,1,Rampart Annihilation,Ram Charge,Rampart Break,Rampart Annihilation,95,130,160,3,"Damage; Sunder Plate: target -10% Defense, 1t.","Damage; Sunder Plate: target -15% Defense, 2t.","Damage; Sunder Plate: target -20% Defense, 2t.",-,+30% damage vs Construct targets.,Full-body charge that detonates masonry-like fragments off the target.,enemy,15,20,40
M-THORNBACK-2,THORNBACK,2,Skullplate Onslaught,Snout Butt,Skullplate Ram,Skullplate Onslaught,50,65,80,0,Damage only.,Damage; ignores 10% of target Defense.,Damage; ignores 15% of target Defense.,-,-,Bony snout plate glows dull orange on impact; a shockwave ring of dust.,enemy,1,20,40
M-THORNBACK-3,THORNBACK,3,Thornstorm Volley,Quill Flick,Thorn Toss,Thornstorm Volley,30,40,50,0,"Damage; Impale: target bleeds 2% max HP/turn, 1t.","Damage; Impale: target bleeds 3% max HP/turn, 2t.","Damage; Impale: target bleeds 4% max HP/turn, 2t.",-,-,A fan of thrown quills that thunk in with visible shafts left standing.,enemy,5,20,40
M-THORNBACK-4,THORNBACK,4,Ironquill Bulwark,Bristle Up,Bristleguard,Ironquill Bulwark,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t); attackers take Quillprick: 3% max HP over 2t.","+30% Defense (self, 2t); attackers take Quillprick: 4% max HP over 2t.",Beast allies also gain +10% Defense.,-,"Dorsal quills snap erect, glinting like iron nails.",self+enemy,10,20,40
M-DUSTHOUND-1,DUSTHOUND,1,Suffocating Pall,Dust Cough,Choking Pall,Suffocating Pall,95,130,160,3,"Damage; Pall: target -10% Attack, 1t.","Damage; Pall: target -10% Attack, 2t.","Damage; Pall: target -15% Attack, 2t.",-,+40% damage vs Insect targets.,The whole field browns out; the hound's eyes are the last thing visible.,enemy,15,20,41
M-DUSTHOUND-2,DUSTHOUND,2,Pursuit Without End,Run-Down,Relentless Pursuit,Pursuit Without End,70,95,120,2,Damage only.,"Damage; Harried: target -1 Speed stage, 1t.","Damage; Harried: target -1 Speed stage, 1t.",-,-,A circling sprint that ends in a shoulder-check through the dust cloud.,enemy,5,20,41
M-DUSTHOUND-3,DUSTHOUND,3,Bonecrusher Snap,Snap,Rending Snap,Bonecrusher Snap,30,40,50,0,Damage only.,Damage; +15% more if user acted before the target this turn.,Damage; +20% more if user acted before the target this turn.,-,-,"A blurred lunge, jaws clicking shut with a dry crack.",enemy+self,1,20,41
M-DUSTHOUND-4,DUSTHOUND,4,Blinding Duststorm,Dust Kick,Grit Storm,Blinding Duststorm,0,0,0,2,"Blinding Dust: target -10% Attack, 1t.","Blinding Dust: target -10% Attack, 2t.","Blinding Dust: target -15% Attack, 2t.","Beast allies gain +1 Speed stage, 1t.",-,"Hind legs rake the ground, throwing a curtain of ochre grit.",enemy,10,20,41
M-BARROWMOLE-1,BARROWMOLE,1,Barrow Cataclysm,Cave-In,Collapse Barrow,Barrow Cataclysm,70,95,120,3,"Damage; Buried: target -10% Defense, 1t.","Damage; Buried: target -15% Defense, 2t.","Damage; Buried: target -20% Defense, 2t.",-,-,A whole burial mound heaves up and slumps over the target.,enemy,16,21,42
M-BARROWMOLE-2,BARROWMOLE,2,Foundation Ruin,Undermine,Undermine Footing,Foundation Ruin,50,65,80,1,"Damage; Sinkstep: target -1 Speed stage, 1t.","Damage; Sinkstep: target -1 Speed stage, 2t.","Damage; Sinkstep: target -1 Speed stage, 2t.",-,+35% damage vs Construct targets.,The ground under the target sags into a funnel of collapsing earth.,enemy,6,21,42
M-BARROWMOLE-3,BARROWMOLE,3,Gravebreaker Talon,Spade Claw,Gravedigger Claw,Gravebreaker Talon,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,"One oversized digging claw swats in a low arc, soil trailing.",enemy,1,21,42
M-BARROWMOLE-4,BARROWMOLE,4,Entombed Bulwark,Dig In,Entrench,Entombed Bulwark,0,0,0,2,"+25% Defense (self, 2t).","+30% Defense (self, 2t); cleanse 1 debuff.","+35% Defense (self, 2t); cleanse 1 debuff.",-,-,The mole sinks to its shoulders in an instant self-dug pit.,self,11,21,42
M-BRAMBLEFAWN-1,BRAMBLEFAWN,1,Bloodbloom Burst,Bud Pop,Bloomburst,Bloodbloom Burst,50,65,80,3,Damage only.,Damage; all allies cleanse 1 debuff.,Damage; all allies cleanse 1 debuff.,-,-,The antler-vines flower all at once in a concussive pollen flash.,enemy+ally,17,22,43
M-BRAMBLEFAWN-2,BRAMBLEFAWN,2,Bramble Fusillade,Thorn Flick,Thorn Volley,Bramble Fusillade,30,40,50,0,Damage only.,"Damage; Nettle: target takes 2% max HP/turn, 2t.","Damage; Nettle: target takes 3% max HP/turn, 2t.",-,-,A casual toss of the head; a single vine-thorn whips across.,enemy,1,22,43
M-BRAMBLEFAWN-3,BRAMBLEFAWN,3,Verdant Aegis,Green Ward,Verdant Ward,Verdant Aegis,0,0,0,2,"One ally +15% Defense, 2t.","All allies +20% Defense, 2t.","All allies +25% Defense, 2t.",Floral allies gain +40% Defense instead.,-,Soft green light blooms from the antlers; petals settle on allies.,ally,6,22,43
M-BRAMBLEFAWN-4,BRAMBLEFAWN,4,Strangling Briarsnare,Tangle Snare,Briar Snare,Strangling Briarsnare,0,0,0,2,"Snare: target -1 Speed stage, 1t.","Snare: target -2 Speed stages, 2t.","Snare: target -2 Speed stages, 2t.",-,-,Thorned vines erupt beneath the target and lace over its legs.,enemy,11,22,43
M-NIGHTMARE-1,NIGHTMARE,1,Harvest of the Fleeing,Chase Down,Reap the Fleeing,Harvest of the Fleeing,95,130,160,3,Damage; +25% more vs targets with a reduced Speed stage.,Damage; +40% more vs targets with a reduced Speed stage.,Damage; +50% more vs targets with a reduced Speed stage.,-,-,The nightmare rears; a scythe of black mist follows the swing of its head.,enemy,17,23,45
M-NIGHTMARE-2,NIGHTMARE,2,Gallop of Grinding Dread,Terror Gallop,Dread Gallop,Gallop of Grinding Dread,50,65,80,1,Damage only.,"Damage; Dread: target -5% Attack, 2t.","Damage; Dread: target -10% Attack, 2t.",-,-,Hoofbeats echo from every direction before the hit lands.,enemy,6,23,45
M-NIGHTMARE-3,NIGHTMARE,3,Pursuit Beyond Death,Soul Chase,Soul Pursuit,Pursuit Beyond Death,30,40,50,0,Damage only.,Damage; +20% more if user acted before the target this turn.,Damage; +25% more if user acted before the target this turn.,-,-,"The horse phases through the target, trailing torn wisps of spirit.",enemy+self,1,23,45
M-NIGHTMARE-4,NIGHTMARE,4,Shroud of Endless Night,Night Veil,Veil of Night,Shroud of Endless Night,0,0,0,2,"Self +1 Speed stage, 1t.","Self +1 Speed stage, 2t.","Self +1 Speed stage, 2t.","Fey and Spectral allies also gain +1 Speed stage, 1t.",-,Darkness pools off the mane like ink dropped in water.,self,12,23,45
M-GOLGOTH-1,GOLGOTH,1,Avalanche Judgment,Rock Blow,Avalanche Blow,Avalanche Judgment,95,130,160,3,Damage only.,Damage only.,Damage only.,-,+30% damage vs Arthropod targets.,A two-limbed overhead smash that buries the target in rubble.,enemy,18,24,46
