Tileset_Name,Parent_Tileset,Applies_To_Zones,Description,Image_Prompt
field,,Grasslands,Open grassland ground — the game's default outdoor terrain.,"Seamless tileable game texture, top-down view, dense dark fantasy grass ground cover with subtle color variation, small scattered wildflowers, flat even lighting, uniform color distribution, no gradient from center to edge, muted desaturated green palette, painterly detailed style"
field/alpine,field,Storm Peaks,"Thinner, wind-bent grass with a cooler high-altitude tint.","Restyle as high-altitude alpine meadow: cooler blue-grey green tint, sparse wind-bent grass, occasional frost patches and small grey stones, same seamless tileable top-down format as base field texture"
dune,,Beach,Loose pale sand with windblown ripple texture.,"Seamless tileable game texture, top-down view, fine pale sand with subtle windblown ripple patterns, scattered small pebbles and shell fragments, flat even lighting, uniform color distribution, no gradient from center to edge, painterly detailed style"
dune/desert,dune,Desert Plains,"Hotter, drier palette with cracked earth breaking up the sand.","Restyle as scorched desert dune: warmer bleached tan palette, dry cracked earth patches breaking up the sand, scattered bleached bone fragments, same seamless tileable top-down format as base dune texture"
cave,,The Crag,Bare grey cave stone — the most reused tileset in the game.,"Seamless tileable game texture, top-down view, rough dark grey cave stone floor with cracks and subtle mineral veining, flat even lighting, uniform color distribution, no gradient from center to edge, painterly detailed dark fantasy style"
cave/crystal,cave,Gemstone Cave,Glowing gemstone veins and refracted light through the stone.,"Restyle as crystal-veined tomb cave: add faint glowing gemstone veins running through the stone in violet and red, subtle refracted light glow, same seamless tileable top-down format as base cave texture"
cave/bioluminescent,cave,Underwater Cave,Damp stone with faint pale-blue fungal glow patches.,"Restyle as flooded bioluminescent cave: darker wet stone with faint pale-blue fungal glow patches and damp sheen, same seamless tileable top-down format as base cave texture"
cave/forge,cave,Flaming Hellscape,"Charred, ember-lit stone.","Restyle as volcanic forge cave: charred blackened stone with glowing ember cracks and faint orange heat-glow, same seamless tileable top-down format as base cave texture"
shallows,,"Grasslands, Beach",Clear wadeable water over a visible bed — Fishing encounter tile.,"Seamless tileable game texture, top-down view, clear shallow water with soft ripples over a visible pale sandy or stone bed, flat even lighting, uniform color distribution, no gradient from center to edge, painterly detailed style"
shallows/bog,shallows,Sunken Bog,"Murky, algae-choked, stagnant.","Restyle as stagnant bog shallows: murky green-brown tint, algae film on the surface, scattered reeds breaking through, same seamless tileable top-down format as base shallows texture"
shallows/glacial,shallows,Storm Peaks,"Icy, glacier-fed, pale blue-clear.","Restyle as glacier-fed alpine shallows: icy pale blue-clear tint, subtle frost rim at the edges, same seamless tileable top-down format as base shallows texture"
depths,,Underwater Cave,"Dark, murky, suggests unseen depth.","Seamless tileable game texture, top-down view, dark deep water surface with faint reflective ripples, subtle murky gradient suggesting unseen depth, flat even lighting, uniform color distribution, no gradient from center to edge, painterly dark fantasy style"
depths/crystal,depths,Gemstone Cave,"Still, glassy, faintly crystal-lit.","Restyle as still underground reflection pool: near-black glassy surface faintly lit by unseen crystal glow, same seamless tileable top-down format as base depths texture"
thicket,,Swarm Thicket,"Dense leaf litter, moss, and low brush.","Seamless tileable game texture, top-down view, dense leaf litter and low undergrowth with scattered roots and moss patches, flat even lighting, uniform color distribution, no gradient from center to edge, muted dark green-brown palette, painterly detailed style"
thicket/meadow,thicket,Grasslands,"Lighter, sparser, more open than the base.","Restyle as open meadow treeline: lighter and sparser undergrowth, more visible grass between brush, same seamless tileable top-down format as base thicket texture"
cliff,,Storm Peaks,Weathered exposed rock exterior.,"Seamless tileable game texture, top-down view, weathered pale grey exposed rock with sparse lichen patches and loose scree, flat even lighting, uniform color distribution, no gradient from center to edge, painterly detailed style"
cliff/nested,cliff,The Crag,Shed carapace fragments and silk strands scattered across the rock.,"Restyle as arthropod-nested cliffside: add scattered shed carapace fragments and thin silk strands across the rock, same seamless tileable top-down format as base cliff texture"
ashfield,,Flaming Hellscape,Cracked black volcanic rock with glowing ember veins. No restyles — unique to this zone.,"Seamless tileable game texture, top-down view, cracked black volcanic rock with faint glowing ember veins, thin ash coating, flat even lighting, uniform color distribution, no gradient from center to edge, painterly dark fantasy style"
