Param,Value,Notes
Gear_Guaranteed_Per_Kill,1,Base: uniform pick among Weapon/Armour/Accessory bases; tier = at-floor tier (boss floor).
Gear_Grade_Band_Rule,one_band_ahead,Roll drop_grade_weights one floor band AHEAD of the boss's band; the final band clamps to itself. Divine+ never drops.
Egg_Guaranteed_Per_Kill,1,"One egg of a line NATIVE to the zone (creatures.csv Home_Zone), Stage-1 egg — evolution intact."
Egg_Line_Weighting,rarity_appearance,"Native lines weighted by the canonical tier chances 30/30/20/10/10 (C/UC/R/SR/SSR), normalized over tiers present in the zone."
Egg_Grade_Rule,floor_band_capped_legendary,Roll drop_grade_weights for the boss's floor band; results above Legendary clamp to Legendary (wild-egg cap). Breeding remains the only Divine+/Void path.
Delivery,conclusion_screen,All boss loot delivered on the battle-conclusion screen straight to inventory.
Egg_Line_Weight_C,30,"MACHINE-READABLE (2026-08-08). These five weights were authored only inside the Egg_Line_Weighting Notes cell, so nothing could read them and the client carried them as a literal {C:30,UC:30,R:20,SR:10,SSR:10}. Values UNCHANGED - a formatting fix, not a balance change."
Egg_Line_Weight_UC,30,
Egg_Line_Weight_R,20,
Egg_Line_Weight_SR,10,
Egg_Line_Weight_SSR,10,
