Floor,Zone,Encounter_Type,Is_Boss,Boss_Name,Primary_Type,Tier,Visual_Theme,Description,Cover_Image_Path,Wins_To_Clear
1,Grasslands,Outdoors,No,,Beast,Early,Sunlit Meadow,Tall swaying grass under an open sky — the first steps into the wild.,,1
2,Grasslands,Cave,No,,Beast,Early,Hollow Burrow,"A shallow den dug into a grassy hillside, animal tracks leading inward.",,2
3,Grasslands,Fishing,No,,Beast,Early,Meadow Stream,"A shallow, clear stream cutting a lazy path through the grass.",,3
4,Grasslands,Outdoors,No,,Beast,Early,Rolling Hills,"Gentle green hills rolling toward the horizon, wind bending the grass in waves.",,3
5,Grasslands,Outdoors,No,,Beast,Early,Windswept Rise,"A low ridge overlooking the meadow, the wind carrying scent for miles.",,3
6,Grasslands,Outdoors,No,,Beast,Early,Thistle Field,Coarse thistles and wildflowers crowd this uneven stretch of ground.,,4
7,Grasslands,Fishing,No,,Beast,Early,Grazing Pond,A still pond where herds once drank before the tall grass grew wild.,,4
8,Grasslands,Cave,No,,Beast,Early,Root Hollow,A den carved beneath a massive fallen tree at the meadow's edge.,,4
9,Grasslands,Outdoors,No,,Beast,Early,Wildflower Expanse,"Bright wildflowers stretch as far as the eye can see, buzzing quietly with life.",,5
10,Grasslands,Cave,Yes,The Alpha's Den,Beast,Early,The Alpha's Den,"A deep den at the meadow's edge, marked with the claw-scored territory of something that rules here.",,5
11,Tidal Shallows,Fishing,No,,Sea Creature,Early,Pale Sandbar,"Sunlit water barely waist-deep, calm until something pale slides beneath the surface.",,5
12,Tidal Shallows,Outdoors,No,,Sea Creature,Early,Driftwood Dunes,"A stretch of wet sand and grounded driftwood, stranded sea life still twitching in the shallow pools.",,6
13,Tidal Shallows,Cave,No,,Sea Creature,Early,Tidewashed Grotto,"A shallow sea cave just above the waterline, damp and narrow, the first sign of deeper caverns to come.",,6
14,Tidal Shallows,Fishing,No,,Sea Creature,Early,Kelp Forest,Visibility drops to almost nothing between the kelp fronds; things brush past unseen.,,6
15,Tidal Shallows,Fishing,No,,Sea Creature,Early,Drowned Ruins,"An old shrine swallowed by the tide, its altar circled endlessly by a scarred ray.",,6
16,Tidal Shallows,Outdoors,No,,Sea Creature,Early,Tidepool Flats,"Dozens of shallow pools connected by trickling channels, each one hiding something.",,7
17,Tidal Shallows,Fishing,No,,Sea Creature,Early,The Undertow,The current here is strong enough to drag careless feet — and stronger things use it to hunt.,,7
18,Tidal Shallows,Fishing,No,,Sea Creature,Early,Barnacle Reef,"Jagged reef spires break the waterline, encrusted with barnacles and old wreckage.",,7
19,Tidal Shallows,Cave,No,,Sea Creature,Early,Current Sinkhole,The cave floor drops away into black water with no visible bottom.,,7
