Prop_ID,Zone,Name,Image_Prompt,Image_Path,Art_Status
PROP-GRA-01,Grasslands,scattered wildflowers,"single isolated game prop, transparent background, scattered wildflowers, dark fantasy grasslands environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/grasslands/scattered_wildflowers.png,prompt_ready
PROP-GRA-02,Grasslands,lone standing stone,"single isolated game prop, transparent background, lone standing stone, dark fantasy grasslands environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/grasslands/lone_standing_stone.png,prompt_ready
PROP-GRA-03,Grasslands,broken fence,"single isolated game prop, transparent background, broken fence, dark fantasy grasslands environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/grasslands/broken_fence.png,prompt_ready
PROP-GRA-ANCHOR,Grasslands,mossy stone,"single isolated game prop, transparent background, mossy stone, large landmark prop, dark fantasy grasslands zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/grasslands/mossy_stone.png,prompt_ready
PROP-TID-01,Tidal Shallows,driftwood,"single isolated game prop, transparent background, driftwood, dark fantasy tidal shallows environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/tidal_shallows/driftwood.png,prompt_ready
PROP-TID-02,Tidal Shallows,kelp fronds,"single isolated game prop, transparent background, kelp fronds, dark fantasy tidal shallows environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/tidal_shallows/kelp_fronds.png,prompt_ready
PROP-TID-03,Tidal Shallows,stranded shell,"single isolated game prop, transparent background, stranded shell, dark fantasy tidal shallows environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/tidal_shallows/stranded_shell.png,prompt_ready
PROP-TID-ANCHOR,Tidal Shallows,coral arch,"single isolated game prop, transparent background, coral arch, large landmark prop, dark fantasy tidal shallows zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/tidal_shallows/coral_arch.png,prompt_ready
PROP-DES-01,Desert Plains,bleached skull,"single isolated game prop, transparent background, bleached skull, dark fantasy desert plains environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/desert_plains/bleached_skull.png,prompt_ready
PROP-DES-02,Desert Plains,cracked earth,"single isolated game prop, transparent background, cracked earth, dark fantasy desert plains environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/desert_plains/cracked_earth.png,prompt_ready
PROP-DES-03,Desert Plains,thorny scrub,"single isolated game prop, transparent background, thorny scrub, dark fantasy desert plains environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/desert_plains/thorny_scrub.png,prompt_ready
PROP-DES-ANCHOR,Desert Plains,sandstone column,"single isolated game prop, transparent background, sandstone column, large landmark prop, dark fantasy desert plains zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/desert_plains/sandstone_column.png,prompt_ready
PROP-SWA-01,Swarm Thicket,silk cocoons,"single isolated game prop, transparent background, silk cocoons, dark fantasy swarm thicket environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/swarm_thicket/silk_cocoons.png,prompt_ready
PROP-SWA-02,Swarm Thicket,amber-trapped insects,"single isolated game prop, transparent background, amber-trapped insects, dark fantasy swarm thicket environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/swarm_thicket/amber-trapped_insects.png,prompt_ready
PROP-SWA-03,Swarm Thicket,giant toadstools,"single isolated game prop, transparent background, giant toadstools, dark fantasy swarm thicket environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/swarm_thicket/giant_toadstools.png,prompt_ready
PROP-SWA-ANCHOR,Swarm Thicket,web-draped trunk,"single isolated game prop, transparent background, web-draped trunk, large landmark prop, dark fantasy swarm thicket zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/swarm_thicket/web-draped_trunk.png,prompt_ready
PROP-THE-01,The Crag,pickaxe in stone,"single isolated game prop, transparent background, pickaxe in stone, dark fantasy the crag environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/the_crag/pickaxe_in_stone.png,prompt_ready
PROP-THE-02,The Crag,collapsed mine cart,"single isolated game prop, transparent background, collapsed mine cart, dark fantasy the crag environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/the_crag/collapsed_mine_cart.png,prompt_ready
PROP-THE-03,The Crag,glowing ore vein,"single isolated game prop, transparent background, glowing ore vein, dark fantasy the crag environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/the_crag/glowing_ore_vein.png,prompt_ready
PROP-THE-ANCHOR,The Crag,iron-veined boulder,"single isolated game prop, transparent background, iron-veined boulder, large landmark prop, dark fantasy the crag zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/the_crag/iron-veined_boulder.png,prompt_ready
PROP-STO-01,Storm Peaks,lightning-split tree,"single isolated game prop, transparent background, lightning-split tree, dark fantasy storm peaks environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/storm_peaks/lightning-split_tree.png,prompt_ready
PROP-STO-02,Storm Peaks,nest of feathers,"single isolated game prop, transparent background, nest of feathers, dark fantasy storm peaks environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/storm_peaks/nest_of_feathers.png,prompt_ready
PROP-STO-03,Storm Peaks,broken compass,"single isolated game prop, transparent background, broken compass, dark fantasy storm peaks environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/storm_peaks/broken_compass.png,prompt_ready
PROP-STO-ANCHOR,Storm Peaks,wind-carved spire,"single isolated game prop, transparent background, wind-carved spire, large landmark prop, dark fantasy storm peaks zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/storm_peaks/wind-carved_spire.png,prompt_ready
PROP-SUN-01,Sunken Bog,half-submerged coffin,"single isolated game prop, transparent background, half-submerged coffin, dark fantasy sunken bog environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/sunken_bog/half-submerged_coffin.png,prompt_ready
PROP-SUN-02,Sunken Bog,will-o-wisp lantern,"single isolated game prop, transparent background, will-o-wisp lantern, dark fantasy sunken bog environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/sunken_bog/will-o-wisp_lantern.png,prompt_ready
PROP-SUN-03,Sunken Bog,rotting bridge,"single isolated game prop, transparent background, rotting bridge, dark fantasy sunken bog environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/sunken_bog/rotting_bridge.png,prompt_ready
PROP-SUN-ANCHOR,Sunken Bog,moss-covered dolmen,"single isolated game prop, transparent background, moss-covered dolmen, large landmark prop, dark fantasy sunken bog zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/sunken_bog/moss-covered_dolmen.png,prompt_ready
PROP-UND-01,Underwater Cave,glowing spore cloud,"single isolated game prop, transparent background, glowing spore cloud, dark fantasy underwater cave environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/underwater_cave/glowing_spore_cloud.png,prompt_ready
PROP-UND-02,Underwater Cave,crystal formation,"single isolated game prop, transparent background, crystal formation, dark fantasy underwater cave environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/underwater_cave/crystal_formation.png,prompt_ready
PROP-UND-03,Underwater Cave,dripping stalactite,"single isolated game prop, transparent background, dripping stalactite, dark fantasy underwater cave environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/underwater_cave/dripping_stalactite.png,prompt_ready
PROP-UND-ANCHOR,Underwater Cave,massive mushroom stalk,"single isolated game prop, transparent background, massive mushroom stalk, large landmark prop, dark fantasy underwater cave zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/underwater_cave/massive_mushroom_stalk.png,prompt_ready
PROP-GEM-01,Gemstone Cave,shattered mirror,"single isolated game prop, transparent background, shattered mirror, dark fantasy gemstone cave environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/gemstone_cave/shattered_mirror.png,prompt_ready
PROP-GEM-02,Gemstone Cave,floating gem shard,"single isolated game prop, transparent background, floating gem shard, dark fantasy gemstone cave environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/gemstone_cave/floating_gem_shard.png,prompt_ready
PROP-GEM-03,Gemstone Cave,spectral candelabra,"single isolated game prop, transparent background, spectral candelabra, dark fantasy gemstone cave environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/gemstone_cave/spectral_candelabra.png,prompt_ready
PROP-GEM-ANCHOR,Gemstone Cave,cracked geode pillar,"single isolated game prop, transparent background, cracked geode pillar, large landmark prop, dark fantasy gemstone cave zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/gemstone_cave/cracked_geode_pillar.png,prompt_ready
PROP-FLA-01,Flaming Hellscape,cracked forge,"single isolated game prop, transparent background, cracked forge, dark fantasy flaming hellscape environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/flaming_hellscape/cracked_forge.png,prompt_ready
PROP-FLA-02,Flaming Hellscape,ember rain,"single isolated game prop, transparent background, ember rain, dark fantasy flaming hellscape environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/flaming_hellscape/ember_rain.png,prompt_ready
PROP-FLA-03,Flaming Hellscape,chained gate,"single isolated game prop, transparent background, chained gate, dark fantasy flaming hellscape environment prop, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/flaming_hellscape/chained_gate.png,prompt_ready
PROP-FLA-ANCHOR,Flaming Hellscape,slag anvil,"single isolated game prop, transparent background, slag anvil, large landmark prop, dark fantasy flaming hellscape zone, dark-fantasy painterly illustration, dramatic lighting, vivid colors, no text, no watermark",floors/props/flaming_hellscape/slag_anvil.png,prompt_ready
